RowNumber,CreditScore,Geography,Age,Balance,IsActiveMember,EstimatedSalary,Exited,Complain
1,619,1,42,0,1,101348.88,1,1
2,608,2,41,83807.86,1,112542.58,0,1
3,502,1,42,159660.8,0,113931.57,1,1
4,699,1,39,0,0,93826.63,0,0
5,850,2,43,125510.82,1,79084.1,0,0
6,645,2,44,113755.78,0,149756.71,1,1
7,822,1,50,0,1,10062.8,0,0
8,376,3,29,115046.74,0,119346.88,1,1
9,501,1,44,142051.07,1,74940.5,0,0
10,684,1,27,134603.88,1,71725.73,0,0
11,528,1,31,102016.72,0,80181.12,0,0
12,497,2,24,0,0,76390.01,0,0
13,476,1,34,0,0,26260.98,0,0
14,549,1,25,0,0,190857.79,0,0
15,635,2,35,0,1,65951.65,0,0
16,616,3,45,143129.41,1,64327.26,0,0
17,653,3,58,132602.88,0,5097.67,1,0
18,549,2,24,0,1,14406.41,0,0
19,587,2,45,0,0,158684.81,0,0
20,726,1,24,0,1,54724.03,0,0
21,732,1,41,0,1,170886.17,0,0
22,636,2,32,0,0,138555.46,0,0
23,510,2,38,0,0,118913.53,1,1
24,669,1,46,0,1,8487.75,0,0
25,846,1,38,0,1,187616.16,0,0
26,577,1,25,0,1,124508.29,0,0
27,756,3,36,136815.64,1,170041.95,0,0
28,571,1,44,0,0,38433.35,0,0
29,574,3,43,141349.43,1,100187.43,0,0
30,411,1,29,59697.17,1,53483.21,0,0
31,591,2,39,0,0,140469.38,1,1
32,533,1,36,85311.7,1,156731.91,0,0
33,553,3,41,110112.54,0,81898.81,0,0
34,520,2,42,0,1,34410.55,0,0
35,722,2,29,0,1,142033.07,0,0
36,475,1,45,134264.04,0,27822.99,1,1
37,490,2,31,145260.23,1,114066.77,0,0
38,804,2,33,76548.6,1,98453.45,0,0
39,850,1,36,0,1,40812.9,0,0
40,582,3,41,70349.48,1,178074.04,0,0
41,472,2,40,0,0,70154.22,0,0
42,465,1,51,122522.32,0,181297.65,1,1
43,556,1,61,117419.35,1,94153.83,0,0
44,834,1,49,131394.56,0,194365.76,1,1
45,660,2,61,155931.11,1,158338.39,0,0
46,776,3,32,109421.13,1,126517.46,0,0
47,829,3,27,112045.67,1,119708.21,1,1
48,637,3,39,137843.8,1,117622.8,1,1
49,550,3,38,103391.38,1,90878.13,0,0
50,776,3,37,103769.22,0,194099.12,0,0
51,698,3,44,116363.37,0,198059.16,0,0
52,585,3,36,146050.97,0,86424.57,0,0
53,788,1,33,0,0,116978.19,0,0
54,655,3,41,125561.97,0,164040.94,1,1
55,601,3,42,98495.72,0,40014.76,1,1
56,619,1,43,125211.92,1,113410.49,0,0
57,656,1,45,127864.4,0,87107.57,0,0
58,725,3,19,75888.2,0,45613.75,0,0
